id,coordinates,highway,length,lanes,tunnel,bridge,maxspeed,width,alley,roundabout
1231,"[[116.3311311, 39.9975242], [116.3311946, 39.9977864], [116.3311675, 39.9983572], [116.3311354, 39.9990239], [116.3311591, 39.9990705], [116.331225, 39.9991059]]",8,179.766,1,0,0,0,0,0,0
1326,"[[116.4836716, 39.9027707], [116.4836591, 39.8957115], [116.4835721, 39.8901599], [116.4836252, 39.887173]]",12,1734.463,4,0,1,0,0,0,0
1327,"[[116.4839188, 39.9112573], [116.4839102, 39.9151358], [116.4839244, 39.917885]]",12,736.971,4,0,1,0,0,0,0
1348,"[[116.4711296, 39.8700727], [116.4693565, 39.8700678]]",4,151.321,3,0,0,0,0,0,0
1353,"[[116.3709039, 39.990337], [116.3710477, 39.9899503]]",2,44.71,3,0,0,0,0,0,0
1355,"[[116.3710477, 39.9899503], [116.3711969, 39.989469], [116.3720527, 39.986559]]",2,386.697,3,0,0,0,0,0,0
1382,"[[116.3496559, 39.9268148], [116.3496945, 39.9259356]]",8,97.818,2,0,0,0,0,0,0
1442,"[[116.4841775, 39.943816], [116.484868, 39.9438265], [116.4855936, 39.9438747]]",10,120.966,2,0,0,0,0,0,0
1443,"[[116.495069, 39.9447092], [116.4952483, 39.9448424]]",10,21.284,2,0,0,0,0,0,0
1444,"[[116.495069, 39.9447092], [116.4926424, 39.9443909], [116.4909542, 39.9442459]]",10,354.691,2,0,0,0,0,0,0
1445,"[[116.495069, 39.9447092], [116.4951851, 39.9442682], [116.4953283, 39.9437146], [116.4958124, 39.9418427], [116.495841, 39.9415645], [116.4958315, 39.9412497]]",8,391.024,2,0,0,0,0,0,0
1450,"[[116.4682625, 39.9663756], [116.466508, 39.9653282], [116.4659502, 39.9649457]]",8,253.317,2,0,0,0,0,0,0
1496,"[[116.4720439, 39.9788255], [116.4721092, 39.9788809]]",12,8.301,2,0,0,0,0,0,0
1531,"[[116.4013897, 39.993466], [116.4013124, 39.9908221]]",4,294.062,3,0,0,0,0,0,0
1532,"[[116.4012842, 39.9886649], [116.4012778, 39.9879411]]",4,80.485,3,0,1,0,0,0,0
1546,"[[116.4318312, 39.898471], [116.4315595, 39.8985564], [116.4312669, 39.8987083], [116.4308757, 39.8989887], [116.430611, 39.8992603], [116.4304054, 39.8996019], [116.4303231, 39.8997968], [116.4302722, 39.9001071], [116.4302839, 39.9003385], [116.4303392, 39.9007161]]",12,305.962,3,0,0,0,0,0,0
1548,"[[116.434374, 39.8979148], [116.4324666, 39.8983305], [116.4318312, 39.898471]]",12,225.564,3,0,0,0,0,0,0
1550,"[[116.4303392, 39.9007161], [116.4303351, 39.9010438], [116.4303118, 39.901501], [116.4302808, 39.9018004], [116.4301907, 39.9023255], [116.430059, 39.903049], [116.4300348, 39.9031821], [116.4300165, 39.9032823]]",12,287.03,3,0,0,0,0,0,0
1551,"[[116.4297623, 39.9046896], [116.4296671, 39.9060618]]",12,152.798,3,0,0,0,0,0,0
1559,"[[116.3492407, 39.9363058], [116.3493453, 39.9338177], [116.3493588, 39.9336047], [116.3493887, 39.9333291]]",8,331.272,3,0,0,0,0,0,0
1568,"[[116.3732946, 39.9510554], [116.3732666, 39.9524069]]",2,150.299,3,0,0,0,0,0,0
1569,"[[116.3732666, 39.9524069], [116.3732201, 39.9538135]]",2,156.457,3,0,0,0,0,0,0
1571,"[[116.3735134, 39.96006], [116.3738816, 39.963466]]",2,380.028,3,0,0,0,0,0,0
1582,"[[116.343849, 39.9429953], [116.3431092, 39.9432388], [116.3421094, 39.9435075], [116.3413691, 39.9437489], [116.3383562, 39.9447312], [116.3377207, 39.944989], [116.3373312, 39.9451696], [116.3367991, 39.9454381], [116.3363367, 39.945721], [116.3360393, 39.9459703]]",8,749.045,3,0,0,0,0,0,0
1637,"[[116.4348385, 39.9142204], [116.4348529, 39.915345]]",10,125.056,2,0,0,0,0,0,0
1648,"[[116.4348208, 39.9128802], [116.4348354, 39.9140262], [116.4348385, 39.9142204]]",10,149.032,2,0,0,0,0,0,0
1668,"[[116.4347794, 39.9104018], [116.4348051, 39.9089995]]",10,155.944,2,0,0,0,0,0,0
1669,"[[116.4347794, 39.9104018], [116.4348077, 39.9118761]]",10,163.953,2,0,0,0,0,0,0
1671,"[[116.4348051, 39.9089995], [116.4347794, 39.9104018]]",10,155.944,2,0,0,0,0,0,0
